category,coefficient,accuracy,correlation,mean_werewolf,mean_villager
JUSTIFICATION,0.6482905357327221,0.8,0.17118419700436555,0.12280701754385963,0.07017543859649124
ASSERTION,-1.4770779523173807,0.8,-0.31649012726461234,0.2719298245614035,0.4236842105263157
PLAN,-1.6918245554137712,0.8,-0.37460599906519854,0.26315789473684204,0.42061403508771933
OBSERVATION,0.0,0.8,,0.0,0.0
QUESTION,0.0,0.8,,0.0,0.0
EMOTIONAL,0.0,0.8,,0.0,0.0
META,0.0,0.8,,0.0,0.0
OTHER,0.0,0.8,,0.0,0.0
