player_id,is_werewolf,raw_length,old_length,new_length,old_compression_ratio,new_compression_ratio,old_similarity,new_similarity
game1_Player3,True,522,224,929,0.42911877394636017,1.7796934865900382,0.7343490719795227,0.8144499063491821
game1_Player4,False,179,102,265,0.5698324022346368,1.4804469273743017,0.6575019955635071,0.8126916885375977
game1_Player5,False,187,203,448,1.085561497326203,2.3957219251336896,0.7086621522903442,0.792217493057251
game1_Player2,False,430,221,440,0.513953488372093,1.0232558139534884,0.7286836504936218,0.8182392120361328
game1_Player1,False,393,248,668,0.6310432569974554,1.6997455470737914,0.6952919960021973,0.8402971625328064
game2_Player2,False,235,204,627,0.8680851063829788,2.668085106382979,0.7287678718566895,0.7586186528205872
game2_Player3,True,535,346,790,0.6467289719626168,1.4766355140186915,0.6709885001182556,0.8013138175010681
game2_Player1,False,246,102,493,0.4146341463414634,2.0040650406504064,0.6411808133125305,0.7861236333847046
game2_Player4,False,422,102,523,0.24170616113744076,1.2393364928909953,0.6887352466583252,0.7489283084869385
game2_Player5,False,421,199,698,0.47268408551068886,1.657957244655582,0.7145629525184631,0.781640350818634
game3_Player5,False,199,263,589,1.321608040201005,2.959798994974874,0.678680956363678,0.7487457394599915
game3_Player2,True,556,199,789,0.3579136690647482,1.419064748201439,0.6387978792190552,0.768445611000061
game3_Player1,False,415,265,680,0.6385542168674698,1.6385542168674698,0.7561438083648682,0.8183177709579468
game3_Player3,False,241,160,632,0.6639004149377593,2.6224066390041494,0.6978718638420105,0.8391938805580139
game3_Player4,False,377,199,621,0.5278514588859416,1.6472148541114058,0.7140265703201294,0.822612464427948
game4_Player2,False,224,221,444,0.9866071428571429,1.9821428571428572,0.7367737293243408,0.8298869132995605
game4_Player5,True,174,222,594,1.2758620689655173,3.413793103448276,0.6770598292350769,0.7828436493873596
game4_Player3,False,228,204,537,0.8947368421052632,2.3552631578947367,0.6874448657035828,0.7739160060882568
game4_Player1,False,253,102,542,0.4031620553359684,2.142292490118577,0.6862180829048157,0.7404571175575256
