threshold,mean_accuracy,std_accuracy,n_games,total_correct,total_werewolves,overall_accuracy
0.6,1.0,0.0,19,19,19,1.0
0.7,1.0,0.0,19,19,19,1.0
0.75,1.0,0.0,19,19,19,1.0
0.8,1.0,0.0,19,19,19,1.0
0.85,1.0,0.0,19,19,19,1.0
0.9,1.0,0.0,19,19,19,1.0
