cue,old_preservation,new_preservation,occurrences,improvement
werewolf,0.0,1.0,8,1.0
trust,0.0,0.8367346938775511,49,0.8367346938775511
villager,0.0,0.6666666666666666,21,0.6666666666666666
lie,0.0,0.1,20,0.1
defend,0.0,0.0,6,0.0
deflect,1.0,1.0,20,0.0
innocent,0.0,0.0,1,0.0
lying,0.0,0.0,1,0.0
manipulate,0.0,0.0,5,0.0
suspect,0.0,0.0,1,0.0
suspicious,0.8888888888888888,0.8333333333333334,18,-0.05555555555555547
